text,index,section,completion
"@TheRandomAnt @meg_m203 yeah, they figured that ornaments are way more wanted than spektar and desolate gear. Well they thought right.",60,tweet,1
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",61,tweet,1
I delete numbers so quick with no hesitation,62,tweet,1
"@astockeyWTAE @SonniAbatta she is terrific at her job, where is she headed-- I missed that?",63,tweet,1
An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.,64,tweet,1
@wenniss are you cheering for team Sweden today or team North American?,65,tweet,1
I have another test tonight ,66,tweet,1
the rappers who stayed true to the game is rich.,67,tweet,1
"light shining thru a clear sparkling stream of piss ,is a sight women will never know of(also tells tht system ure system is healthy)",68,tweet,1
did you know that the sparkling letters in Super Mario Galaxy spell out U R MR GAY,69,tweet,1
@AnjiDunlap droop in leggings? Are they wearing XXXL?,70,tweet,1
"be strong, independant and practical. stop living in your world of fantasy. snap out of it. the faster u get used to the reality, the better",71,tweet,1
"Trying to think positive, and not let this situation discourage me ✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨",72,tweet,1
doing some testing with my current earth burst team,73,tweet,1
Studying the phases of oscillation. How jovial. 😐🔫,74,tweet,1
[Moment of levity on the B41] Baby: I want ISIS! Give me ISIS!\nMom: Shh!\nBaby: I want ISIS!\nWest Indian woman: She wants what?\nMom: *Ices*.,75,tweet,1
someone kik me @ montanashay_ \n#kikme #snap,76,tweet,1
@JonnyOwenFilm @ringsiderobbie1 can you remember that train Sunday after Froch v Kessler ? ,77,tweet,1
Who actually chooses to drink sparkling water 🤔,78,tweet,1
"@GolfStrat out of Rory starts. What would your B group look like w/o him? Hideki and Walker, and throw Reed or Knox on the pine?",79,tweet,1
@ryanwilson2015 That's why compatibility is key as it lowers hedonic volatility.,80,tweet,1
Bring on my interview at hospital tho 🙈🙈 ,81,tweet,1
"Sharpened a pencil today, haven't sharpened once since 1999. ✏️ ",82,tweet,1
@xaninaany I'm so serious DM me I'll tell u more,83,tweet,1
Will do fine on the mat tonight with or without sleep. theres no worry for that on this side of the water,84,tweet,1
"@ctp It's daunting trying to follow Swift news/trends, and facing mind-shattering patterns/terms left and right. I'm trying to adopt gently.",85,tweet,1
"@ToddDoug @Ziggomattic Yeah, this actually supports why I tweeted in this thread initially. Because of the article's righteous indignation.",86,tweet,1
"cluck cluck cluck, wolf wolf wolf , chirp chirp chirp is all I ever hear.",87,tweet,1
What do you get when you cross an #apple tree and a #pine tree? 🍎🌲\nNothing. You can't cross-pollinate #deciduous and #coniferous #trees.,88,tweet,1
@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis ,89,tweet,1
Don't get #bitter get #BETTER,90,tweet,1
What's with all pre industrial revolution-esque footwear? You guys tryin out for grapes of wrath today?,91,tweet,1
We're all in D. T. (Discipleship training or detox) for something. #messy  #cutoff #choosefreedom #CryOut16,92,tweet,1
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",93,tweet,1
@aidankerrpol I think you should do. Get the fashion police involved. ,94,tweet,1
"6 might be a serious number, but 10 sounds better. Wild card race!!",95,tweet,1
"I wish I could fast forward 3 months from now, I'll know then where I'm at with my girl, my classes, and basketball. Rn I have pure ",96,tweet,1
@laray_jenkins2 @SportsInsights yeah I know it unless our offense can get something going. That's a big if,97,tweet,1
Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.,98,tweet,1
@Justin_Gau @JamesMelville You certainly wouldn't catch me with the multitude. ,99,tweet,1
it's pretty depressing when u hit pan on ur favourite highlighter,100,tweet,1
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college,101,tweet,1
Living with #depression doesn't mean you must be defeated by it\nevery day's a new day and yesterday doesn't decide what today looks like :-),102,tweet,1
"It’s possible changing meds is best not done while under stress. Difficult to tell what part of despair is circumstantial, what is drugs.",103,tweet,1
Ive felt surprisingly gloomy about my bad scouts today :'D but i recognize that it's all just RNG and yeah I didnt spend that many gems,104,tweet,1
@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA,105,tweet,1
so gutted i dropped one of my earrings down the sink at school,106,tweet,1
I'm so bored and fat and full and ridiculously overweight and rolls galore ,107,tweet,1
@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind ,108,tweet,1
"@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad",109,tweet,1
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,110,tweet,1
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat",111,tweet,1
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",112,tweet,1
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,113,tweet,1
"We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy",114,tweet,1
@DepressedStride &gt; huff louder,115,tweet,1
Summer officially ends today. #sadness,116,tweet,1
final vestiges of my 90's childhood were just dashed on the shoals of hearing a house cover of Tracy Chapman's 'fast car' at the dayjob,117,tweet,1
I need a bit of #GBBO to cheer me up after a terrible day!,118,tweet,1
I was not made for this world. #empath #unhappy,119,tweet,1
i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩,120,tweet,1
"Wow... One of my dads top favorite throwback rappers just died in a fiery car crash today in Atlanta, so sad so sad 😷😷",121,tweet,1
finally leaving my first job soon. i've been working here since i was 16. going to be kind of bitter sweet,122,tweet,1
will brawndo cure my depression? @MikeJudge #Idiocracytoday,123,tweet,1
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad,124,tweet,1
@FlannelJedi This is why I drink and watch You're the Worst as a way to cheer myself up.,125,tweet,1
in health we did a think about depression and now i feel like i have it,126,tweet,1
Muscled man with huge heart is messing with my brain and heart. #lost #confused,127,tweet,1
@rosalilium I'm wearing all black tomorrow to mourn. 😭💔,128,tweet,1
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",129,tweet,1
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,130,tweet,1
@Fra93_bruno wow I'm just really sadden by that. Terrible,131,tweet,1
"@LuluLemonLime83 wow , your right they do need help,so what I'm getting from the Laureliver fandom and bitter comic fandom and",132,tweet,1
I'm such a shy girl🙄,133,tweet,1
mmmm i'm kinda sad i hope i can shake this before school,134,tweet,1
NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,135,tweet,1
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,136,tweet,1
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",137,tweet,1
Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,138,tweet,1
"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",139,tweet,1
@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy,140,tweet,1
Grim and despair feeling-I look at self and my family. Hubby fought 20+ years for this country. I've worked 20+ years for this govt--&gt;,141,tweet,1
When will the weeks full of Mondays end?? #disheartened,142,tweet,1
Feeling #gloomy,143,tweet,1
@Bietron 🤓 dont be sad.. btw good night davina..go sleep larh..,144,tweet,1
Condolences to the  JC and the Georges family.. ,145,tweet,1
Been a while since I been sober. This life can be so hard,146,tweet,1
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,147,tweet,1
It appears my fire alarm disapproves of my cooking style,148,tweet,1
alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,149,tweet,1
When you have 15 doe run the opposite side of you 🙁 #depression,150,tweet,1
@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,151,tweet,1
"@SloanTheOtaku Betelgeuse/Sloth was lively, dedicated and tenacious, Regulus/Greed is humbly content and Ley/Gluttony is starving hungry.",152,tweet,1
"Dehydrated, exhausted, stressed but still blessed. ",153,tweet,1
"@paige_christian awe man, when are you free then? ☹️️☹️️☹️️💘💘💘",154,tweet,1
@KurakkuSora he is.\nSure his mind was clouded but...],155,tweet,1
#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me,156,tweet,1
I honestly feel nothing towards either of my parents and it's pretty depressing,157,tweet,1
"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly.",158,tweet,1
"Two blankets, a hoody, and still no Eternal Sunshine to mope to.",159,tweet,1
😑😑😑&lt;---- that moment you finish a Netflix series and have nothing else to watch. #depression,160,tweet,1
"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",161,tweet,1
"The animals, the animals\nTrap trap trap till the cage is full\nThe cage is full, stay awake\nIn the dark, count mistakes",162,tweet,1
@FoxNews Very thought provoking &amp; leads one to question what really happened.Very sad for all.,163,tweet,1
The joyful tambourines have ceased. The noise of the jubilant has stopped. The joyful lyre has ceased. -Isaiah 24:8,164,tweet,1
@missmeliss465 @WellWeds @siggyflicker @whispernghope @mcrichard awe I feel so bad being naive ou is the worst,165,tweet,1
Rooney = whipping boy. #mufc #sad,166,tweet,1
Drop Snapchat names #bored #snap #swap #pics,167,tweet,1
"@nigeriaLNG @TonyAttah #lestweforget 3 yrs on, 2013 Graduate Trainee recruitment not concluded. #disappointed #weary however  #wewait",168,tweet,1
@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing,169,tweet,1
@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We,170,tweet,1
"I miss my gran singing Rawhide, in her deep baritone growl.",171,tweet,1
it didn't impress me but it didn't depress me',172,tweet,1
@smb_ryan @Kamper10 I couldn't care less about #GOTHAM. I haven't watched it since the mid point of season 1. #horrible,173,tweet,1
"@mehnazt @Mel_Harder I live a life devoid of mirth. Come to think of it, there aren't enough taco bowls in my life, either.",174,tweet,1
@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,175,tweet,1
@OniLink86 @DarekMeridian lmao awe...  #sad,176,tweet,1
So drunk me hid my keys very well sober me couldn't find it anywhere,177,tweet,1
So depressing that it's darker so much earlier now,178,tweet,1
"@msfang they say you attract what you see, maybe I shouldn't be a pessimist but I don't wanna take any chances lol can't wait to relocate",179,tweet,1
Is it just me or is this a very weird time for the world? #change #enlightenment #gloomy #weird #sigh #imaginepeace #imaginelove #unite,180,tweet,1
Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching,181,tweet,1
On bedrest since I got out of the hospital. U find in unopened beer.. what do I do. Pour that shit out! No alcohol at all for me #sober,182,tweet,1
"@MHChat if we don't understand how to express our emotions to others, may lead to sadness / loneliness &amp; neg impact on long term mh #MHChat",183,tweet,1
@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;),184,tweet,1
#welfarereform should not be a 'model' for #snap.,185,tweet,1
Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris,186,tweet,1
@Ashleyavitia_ don't leave me #sad,187,tweet,1
@l1ght__eyes u tried boiling em takes years too,188,tweet,1
I seem to alternate between 'sleep-full' and sleepless nights. Tonight is a sleepless one. 😕 #insomnia  #notfair,189,tweet,1
"Only God knows why things happen, sometimes it's just hard to understand. #sad #prayingforyou",190,tweet,1
Tho we haven't talked Jeff but the news is so sad and shocking. R.I.P Jeffrey,191,tweet,1
It's been 5 weeks and I still go through depression smh,192,tweet,1
We have left #Maine. #sadness,193,tweet,1
"@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy",194,tweet,1
I am often disturbed by what some people find appropriate or acceptable. It's not funny nor cute that adults find this stuff humorous. #sad,195,tweet,1
People are trying too hard to hate on Cam Newton without understanding his position #sad,196,tweet,1
And here we go again 😓 #restless,197,tweet,1
@ChipotleTweets Gabe the worst part is I can't get hot status this month because there's no chipotle near enough to my campus #sadness,198,tweet,1
My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #optimism,199,tweet,1
"@TheJonFedor @abdophoto My main hesitation to going to the Plus size. But if Apple can get the Plus to the 6 size, think of the ASP jump",200,tweet,1
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,201,tweet,1
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,202,tweet,1
@suddenlyapples This is an on-going affliction for me and the only cure is more Shiro,203,tweet,1
nooooo. Poor Blue Bell! not again. #sad,204,tweet,1
"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",205,tweet,1
"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",206,tweet,1
Go help the cause.@plantingaseed.net. #recovery  #sober #addiction,207,tweet,1
@qdoba omg I'm so slow bc my eng is not very well and my hands are shaking uhh help meee I'm like this lil chicken now 🐥#MoreisBetter,208,tweet,1
"Jesus wept! Another RNS from #rusty @metaltigerplc quote 'Price sensitive news, Price Sensitive news' etc etc The #Ramping here is ",209,tweet,1
"@_JuliaSteiner : I liked that she was not moping around in all of the episode. She had a moment of emotional weakness, felt sorry about -",210,tweet,1
We want to help you with your #depression. Give our office a call to learn how #TMS may be the treatment you've been waiting for!,211,tweet,1
When you have 15 doe run the opposite side of you 🙁 ,212,tweet,1
Can we get a shot of Lingys face at 1/4 time ? Pretty sure it would be more red then his hair  #pretendinghesok #ruok #AFLCatsSwans,213,tweet,1
You can make excuses or you can make time. You can't make both. #time #regret #anxiety #LifeCoach,214,tweet,1
Sorry guys I have absolutely no idea what time i'll be on cam tomorrow but will keep you posted. ,215,tweet,1
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,216,tweet,1
"Yo,if you're talking about horoscopes do you really have any clue as to what you're saying or are you gonna act offended when I question it?",217,tweet,1
"@vInZzzY we regret the inconvenience caused. We have noted your concern. We will get in touch with you soon to discuss. Rgds, Abhijit",218,tweet,1
@WelshGasDoc @PlaidCymru supporter @reesmarshall239 #prejudice against #disabled people #disabledlivesmatter  #bbcnews #skynews,219,tweet,1
"@escotony sorry to hear about your experience, however, please do not hesitate to contact us via live chat or email at askdysonUS@dyson.com",220,tweet,1
Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right #pout,221,tweet,1
🙄 I just want to start all over again .,222,tweet,1
Light of day per heyday popularization backfire cinematography: XUcQb,223,tweet,1
"The labor of love is not cheap or inexpensive, it's the time spent earning it. #lackadaisical #dreamer",224,tweet,1
What terrible thing to see and have no vision-\n\nHelen Keller-\n\n-Begin with the end in mind-\n\nStephen Covey-\n\n #whereareugoing ,225,tweet,1
@_JuliaSteiner : YES ! Right ? I mean I wish you hadn't been discouraged to see #MikeandMolly because so many parallels really -,226,tweet,1
"ninaturner: Mine too. With what is happening in country, I needed this moment of levity bernblade LisaVikingstad",227,tweet,1
me taking a picture by myself: *awkward smile*\nme on picture day: *awkward smile*\nconclusion: stop smiling ;'(\n #pictureday2016  #ornot,228,tweet,1
@MUTGuru I know guys that sink $1000s into the game and only to build a team and play solos. But this hear you make nothing on solos.,229,tweet,1
@pandaflo22 We are sadden by this because we always strive to bring the best service to our customer. We will always be here for you. CM,230,tweet,1
which always leads to the kind of hilarity average people will never experience - especially during breakups.,231,tweet,1
I can't even celebrate my wins or mourn my L's cause first test week is that busy 😕,232,tweet,1
whenever I hear concert postponed I think of dismal ticket sales   green day ?,233,tweet,1
@MLB @JoeyBats19 Sam Dyson is probably having flashbacks right about now. ,234,tweet,1
@Kim_is__bored exactly what I have been saying on fb.. ,235,tweet,1
And here we go again 😓 ,236,tweet,1
Henderson showing that when times are hard he leaves or goes missing #AFLCatsSwans #seenitbefore #lions #blues,237,tweet,1
@HeyCaraJay I am inconsolable at this GIF in context,238,tweet,1
@kagehime3 I'm so starved for content I'd take it but I'd def pout about it (՟ິͫઘ ՟ິͫ),239,tweet,1
How much time should I give to my friend who lost his laptop to mourn before I can ask him to give me his laptop charger and extra battery??,240,tweet,1
"@_noTORIEty lol senior year we would get early dismal for work study ,he was her boss and you know what happened next 🙃",241,tweet,1
Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss,242,tweet,1
"@LouisFil just curious as to what you mean. No rush, no animosity, no disdain.",243,tweet,1
I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy,244,tweet,1
"@rawhidevelvet No offense, but isn't it a little late to be getting a radio broadcast degree? Isn't that going to be over in a decade or 2?",245,tweet,1
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,246,tweet,1
Houston might lose a coach tomorrow or by midnight. #yikes ?,247,tweet,1
@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,248,tweet,1
@iamglenn35 the forth character? No... not gleeful enough...,249,tweet,1
"@FatedDancer ~together.' Hermione  lowered her voice slightly, sounding somewhat  bitter, perhaps even  rueful. 'That would only get you~",250,tweet,1
In serious need of a nap,251,tweet,1
@ChristianJMay @CityAM \nConfidence held up... despite constant and continual doom and gloom,252,tweet,1
When you get lost in a neighborhood and have to use the gps on your phone to find your way out. #lost #GoogleMaps #blondmoment,253,tweet,1
Drop Snapchat names #bored  #swap #pics,254,tweet,1
The @Orioles are in contention and hosting @RedSox nation and Camden is empty ,255,tweet,1
Y'all tune into Snapchat for Beans funereal,256,tweet,1
Q&amp;A with N. Christie @westernuHistory: fr. @marybethstart: What would Peter and Dardanella think of us knowing? #poorthings #shy,257,tweet,1
@ajjaffe @MattMurph24 @nickspencer I was under the impression that stop and frisk was a concern to many in NYC. Didn't deBlasio rein it in?,258,tweet,1
@URClassless I think that yawning actor died of a drug overdose. ,259,tweet,1
"@NFYFC @Wilkster_ hmm, don't know many yf  who are short on confidence! Wish I'd been one, ",260,tweet,1
need to sta dating again.I m bored #redheadteen #boldandbeautiful #lost #500aday single men dating Schkeuditz,261,tweet,1
@gmbremer is his shoulder a legit concern? 'Expects to play' isn't reassuring 2 games into the season after having shoulder problems.,262,tweet,1
Don't be so shy #nl,263,tweet,1
Fellaini has been playing ahead of this guy...just let that sink in,264,tweet,1
Should of stayed in Dubai 😞,265,tweet,1
i was just talking about it last week .. how does your outside appearance (ie. dread locks) affect the ability you have to work?,266,tweet,1
"@ManUnitedWriter He has had a dreadful first half, not to mention rashford would've got on the end of a couple of those through balls #pace",267,tweet,1
I really wanna go to fright fest 😩,268,tweet,1
When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT,269,tweet,1
"Luis Ortiz ducked by Ustinov which means fights off, and he left @GoldenBoyBoxing future not looking to bright for Ortiz #boxing",270,tweet,1
If i could just get my line to block! #germantownbroncos #lilleague #popwarner #Broncos #usafootball  #lineman,271,tweet,1
@imtarakate Uggh that's really horrible. You're not a bad person by any stretch of the imagination. I hope this person realizes that.,272,tweet,1
"In wake of fresh #terror threat and sounding of alert in #Mumbai, praying for safety &amp; security of everybody in the city #Maharashtra #news",273,tweet,1
@andreasarahco do you actually heely on campus bc this should scare you,274,tweet,1
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,275,tweet,1
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,276,tweet,1
hi my names anxiety and i have shaun,277,tweet,1
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",278,tweet,1
"Don't be #afraid of the space between your #dreams and #reality. If you can #dream it, you can #make it so",279,tweet,1
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,280,tweet,1
@KennyCoble @Rosie these horrific situations will only get worse if trump is elected. vote Hillary.,281,tweet,1
@LeafyIsHere will showing off biceps scare you?,282,tweet,1
courage the cowardly dog is like american horror story for kids,283,tweet,1
induction day tomorrow for pizza express #nervous,284,tweet,1
@siomo @NEWSTALK1010 20 says he gets reelected.....  #be #afraid,285,tweet,1
@SeanUnfiltered Texans are scared of this bunch! ,286,tweet,1
Now #India is #afraid of #bad .,287,tweet,1
I'm scared that my coworkers are going to submit me to one of those 'wardrobe makeover' shows.  #fashion,288,tweet,1
if Man U lose i may actually have a nervous breakdown,289,tweet,1
there’s shaytan in this room wallahi its been dark all the time now the lamp is on!! omg shaytan,290,tweet,1
"If you think you're good to go already, don't worry about it.",291,tweet,1
Watching It Follows.  This is a super freaky movie.  #horror #scary,292,tweet,1
and claimed that all of the same things could scare us\nbut we were tough because of ancestry,293,tweet,1
How I Murdered Your Mother #SpookyTv ,294,tweet,1
#TerrorStatePak @sardesairajdeep Pakistan invitadated 4 times in India and why we worry to invade our own land #PoK?  Which is disputed.,295,tweet,1
I'm literally never home and my parents threaten to charge rent if I don't start cleaning the house everyday. OK.,296,tweet,1
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,297,tweet,1
I'm just tryna watch horror movies and nap all day,298,tweet,1
@jdwmaguire 'They will be a formidable challenge' Roy Hodgson on Northampton Town *shudders*,299,tweet,1
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,300,tweet,1
"Searching for someone to date ― on Tinder, at a bar, through friends ― can feel like an absurd nightmare. Or, at least, a series of",301,tweet,1
@Bwana86 I can fear that someone is always following me everywhere I go. Does that make it true??,302,tweet,1
@BoudicaRides @realkingrobbo Isn't that exactly what they should do? What took so long? He is more #afraid of #ClintonMafia than #Congress,303,tweet,1
